Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
38,Tyler Herro,26,MIA,SG,33,28,31.3,7.5,15.6,0.48,2.5,6.7,0.378,4.9,8.9,0.556,0.561,3.0,3.3,0.917,0.4,4.4,4.8,4.1,0.7,0.4,1.9,1.9,20.5,,herroty01
39,Anthony Davis,32,DAL,PF,20,20,31.3,8.5,16.7,0.506,0.5,1.9,0.27,8.0,14.9,0.535,0.521,3.0,4.1,0.728,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,20.4,,davisan02
40,Alperen Şengün,23,HOU,C,72,72,33.3,8.1,15.6,0.519,0.6,1.8,0.305,7.5,13.8,0.547,0.537,3.6,5.2,0.691,3.0,5.9,8.9,6.2,1.2,1.1,3.2,3.3,20.4,AS,sengual01
41,Dillon Brooks,30,PHO,SF,56,56,30.4,7.4,17.1,0.435,2.3,6.6,0.344,5.2,10.5,0.492,0.501,3.0,3.6,0.842,0.8,2.9,3.6,1.8,1.0,0.2,1.8,3.3,20.2,,brookdi01
42,Brandon Miller,23,CHO,SF,65,65,30.3,7.0,16.1,0.435,3.1,8.2,0.383,3.8,7.9,0.489,0.533,3.1,3.4,0.892,1.1,3.8,4.9,3.3,1.0,0.7,2.5,2.8,20.2,,millebr02
43,Bam Adebayo,28,MIA,C,73,73,32.4,6.9,15.7,0.442,1.7,5.5,0.318,5.2,10.2,0.509,0.497,4.5,5.8,0.778,2.0,8.0,10.0,3.2,1.2,0.7,1.6,1.7,20.1,DPOY-11,adebaba01
44,LaMelo Ball,24,CHO,PG,72,69,28.0,7.0,17.3,0.407,3.8,10.3,0.368,3.3,7.0,0.464,0.516,2.2,2.5,0.899,0.9,3.9,4.8,7.1,1.2,0.2,2.8,2.7,20.1,,ballla01
45,Desmond Bane,27,ORL,SG,82,82,33.6,7.1,14.7,0.484,2.0,5.2,0.391,5.1,9.5,0.535,0.553,3.8,4.2,0.908,1.2,2.9,4.1,4.1,1.0,0.5,2.0,3.1,20.1,,banede01
46,Karl-Anthony Towns,30,NYK,C,75,75,31.0,6.9,13.8,0.501,1.5,4.1,0.368,5.4,9.7,0.557,0.556,4.8,5.5,0.858,3.1,8.7,11.9,3.0,0.9,0.5,2.5,3.4,20.1,AS,townska01
47,Jimmy Butler,36,GSW,SF,38,38,31.1,6.3,12.2,0.519,0.8,2.2,0.376,5.5,9.9,0.552,0.554,6.5,7.6,0.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20.0,,butleji01
48,Ty Jerome,28,MEM,SG,15,15,22.6,6.8,14.3,0.474,2.8,6.7,0.42,4.0,7.7,0.522,0.572,3.3,3.7,0.875,0.7,2.1,2.8,5.7,1.1,0.3,1.8,2.1,19.7,,jeromty01
49,Jalen Duren,22,DET,C,70,70,28.2,7.5,11.5,0.65,0.0,0.0,,7.5,11.5,0.65,0.65,4.6,6.1,0.747,3.8,6.7,10.5,2.0,0.8,0.8,1.9,2.8,19.5,DPOY-11AS,durenja01
50,Ja Morant,26,MEM,PG,20,20,28.5,6.6,16.1,0.41,1.0,4.3,0.235,5.6,11.9,0.473,0.441,5.3,5.9,0.897,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,19.5,,moranja01
51,Jaren Jackson Jr.,26,2TM,C,48,48,30.3,7.1,15.0,0.476,1.8,4.9,0.357,5.4,10.1,0.533,0.534,3.4,4.2,0.803,0.9,4.8,5.7,2.0,1.1,1.4,2.2,3.7,19.4,,jacksja02
51,Jaren Jackson Jr.,26,MEM,C,45,45,30.7,7.1,14.9,0.475,1.8,4.9,0.359,5.3,10.0,0.531,0.534,3.3,4.2,0.797,0.9,4.8,5.8,1.9,1.0,1.5,2.2,3.8,19.2,,jacksja02
51,Jaren Jackson Jr.,26,UTA,C,3,3,24.0,8.0,16.3,0.49,1.7,5.0,0.333,6.3,11.3,0.559,0.541,4.7,5.3,0.875,0.3,4.0,4.3,2.7,2.0,0.3,2.3,3.0,22.3,,jacksja02
52,RJ Barrett,25,TOR,SF,57,57,30.3,7.0,14.3,0.491,1.7,5.0,0.339,5.4,9.4,0.572,0.55,3.5,4.9,0.717,1.0,4.3,5.3,3.3,0.7,0.3,1.7,2.6,19.3,,barrerj01
53,Zach LaVine,30,SAC,SG,39,37,31.4,6.7,14.0,0.479,2.5,6.5,0.39,4.2,7.5,0.556,0.569,3.2,3.6,0.88,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2,,lavinza01
54,Darius Garland,26,2TM,PG,45,43,29.9,6.9,14.9,0.46,2.7,6.8,0.396,4.2,8.1,0.514,0.551,2.3,2.7,0.861,0.4,2.0,2.4,6.7,1.0,0.2,2.9,1.9,18.8,,garlada01
54,Darius Garland,26,CLE,PG,26,26,30.5,6.5,14.5,0.451,2.3,6.3,0.36,4.3,8.2,0.521,0.529,2.6,3.0,0.861,0.5,2.0,2.4,6.9,0.8,0.1,2.8,1.8,18.0,,garlada01
54,Darius Garland,26,LAC,PG,19,17,29.1,7.3,15.5,0.471,3.3,7.6,0.438,4.0,7.9,0.503,0.578,1.9,2.3,0.86,0.3,2.0,2.3,6.4,1.2,0.3,3.0,1.9,19.9,,garlada01
55,CJ McCollum,34,2TM,PG,76,60,29.8,6.9,15.2,0.455,2.5,6.7,0.375,4.4,8.5,0.519,0.538,2.4,3.1,0.772,0.8,2.5,3.3,3.9,0.8,0.5,1.8,1.9,18.7,,mccolcj01
55,CJ McCollum,34,WAS,SG,35,35,30.9,6.9,15.1,0.454,2.7,7.0,0.393,4.1,8.1,0.505,0.544,2.3,2.9,0.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8,,mccolcj01
55,CJ McCollum,34,ATL,PG,41,25,28.8,7.0,15.2,0.456,2.3,6.5,0.357,4.6,8.8,0.529,0.532,2.5,3.3,0.748,1.0,2.2,3.1,4.1,1.0,0.6,1.9,1.7,18.7,,mccolcj01
56,De'Aaron Fox,28,SAS,PG,72,72,31.0,7.1,14.5,0.486,1.8,5.5,0.332,5.3,9.1,0.58,0.549,2.6,3.4,0.76,0.6,3.2,3.8,6.2,1.2,0.3,2.3,2.3,18.6,AS,foxde01
57,Jerami Grant,31,POR,PF,57,38,29.7,5.8,12.8,0.453,2.4,6.1,0.389,3.4,6.7,0.513,0.547,4.6,5.6,0.814,1.0,2.5,3.5,2.1,0.7,0.6,2.1,2.5,18.6,,grantje01
58,Kon Knueppel,20,CHO,SF,81,80,31.5,6.4,13.4,0.475,3.4,7.9,0.425,3.0,5.5,0.548,0.601,2.4,2.8,0.863,1.2,4.1,5.3,3.4,0.7,0.2,2.0,2.1,18.5,ROY-2,knuepko01
59,DeMar DeRozan,36,SAC,PF,77,77,31.2,6.5,13.1,0.497,0.6,1.9,0.32,5.9,11.1,0.527,0.52,4.9,5.6,0.868,0.5,2.5,2.9,4.1,1.0,0.3,1.2,1.9,18.4,,derozde01
60,Amen Thompson,23,HOU,PG,79,79,37.4,7.1,13.2,0.534,0.3,1.5,0.216,6.7,11.7,0.573,0.545,3.8,4.9,0.779,3.0,4.8,7.8,5.3,1.5,0.6,2.4,2.2,18.3,DPOY-8,thompam01
61,Evan Mobley,24,CLE,PF,65,63,31.9,7.2,13.2,0.546,1.0,3.2,0.297,6.3,10.0,0.626,0.582,2.8,4.6,0.606,2.4,6.6,9.0,3.6,0.7,1.7,1.9,2.4,18.2,,mobleev01
62,Scottie Barnes,24,TOR,PF,80,80,33.5,7.1,14.0,0.507,0.9,2.8,0.304,6.3,11.2,0.557,0.537,3.0,3.7,0.815,1.9,5.6,7.5,5.9,1.4,1.5,2.6,2.6,18.1,DPOY-5AS,barnesc01
63,Trae Young,27,2TM,PG,15,15,25.6,5.4,11.8,0.458,1.8,5.3,0.338,3.6,6.5,0.557,0.534,5.3,6.5,0.825,0.3,1.7,2.0,8.0,0.9,0.1,2.6,2.2,17.9,,youngtr01
63,Trae Young,27,ATL,PG,10,10,28.0,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0.0,1.5,1.5,8.9,1.0,0.1,2.6,2.0,19.3,,youngtr01
63,Trae Young,27,WAS,PG,5,5,20.8,5.0,8.4,0.595,1.8,4.2,0.429,3.2,4.2,0.762,0.702,3.4,4.8,0.708,0.8,2.2,3.0,6.2,0.6,0.2,2.6,2.6,15.2,,youngtr01
64,Jalen Green,23,PHO,SG,32,27,25.9,6.8,16.0,0.422,2.2,7.1,0.313,4.5,8.9,0.509,0.491,2.0,2.7,0.747,0.5,3.1,3.6,2.8,1.1,0.3,2.3,1.3,17.8,,greenja05
65,Saddiq Bey,26,NOP,SF,72,64,31.2,6.1,13.4,0.451,2.1,5.7,0.367,4.0,7.7,0.514,0.529,3.4,4.1,0.841,1.7,3.9,5.6,2.5,0.9,0.1,0.9,1.3,17.7,,beysa01
66,Bennedict Mathurin,23,2TM,SF,54,25,30.0,5.4,12.5,0.43,1.4,4.4,0.315,4.0,8.1,0.492,0.485,5.4,6.2,0.869,1.0,4.4,5.4,2.4,0.8,0.2,2.2,2.5,17.6,,mathube01
66,Bennedict Mathurin,23,IND,SF,28,24,31.8,5.5,12.8,0.433,2.1,5.6,0.372,3.5,7.2,0.48,0.514,4.6,5.2,0.884,0.8,4.6,5.4,2.3,0.6,0.1,2.3,2.7,17.8,,mathube01
66,Bennedict Mathurin,23,LAC,SF,26,1,28.0,5.2,12.3,0.426,0.7,3.2,0.207,4.6,9.1,0.502,0.453,6.3,7.3,0.858,1.3,4.2,5.5,2.5,1.0,0.3,2.1,2.3,17.4,,mathube01
67,Coby White,25,2TM,SG,50,26,25.0,5.6,12.5,0.446,2.3,6.4,0.362,3.3,6.1,0.534,0.539,3.9,4.8,0.817,0.3,3.1,3.4,4.0,0.5,0.1,2.6,2.2,17.4,,whiteco01
67,Coby White,25,CHI,SG,29,26,29.1,5.9,13.6,0.438,2.5,7.2,0.346,3.4,6.4,0.541,0.529,4.3,5.3,0.805,0.2,3.5,3.7,4.7,0.7,0.1,3.0,2.4,18.6,,whiteco01
67,Coby White,25,CHO,SG,21,0,19.3,5.0,11.0,0.461,2.0,5.2,0.391,3.0,5.7,0.525,0.554,3.5,4.1,0.839,0.5,2.5,3.0,3.0,0.2,0.1,1.9,1.9,15.6,,whiteco01
68,Kevin Porter Jr.,25,MIL,PG,38,36,33.2,6.3,13.5,0.465,1.2,3.8,0.322,5.1,9.8,0.52,0.51,3.6,4.1,0.878,0.9,4.3,5.2,7.4,2.2,0.5,2.9,2.3,17.4,,porteke02
